Item 1: Label=NEGATIVE, Score=0.9047
Item 59: Label=POSITIVE, Score=0.8681
Item 60: Label=POSITIVE, Score=0.8855
Item 61: Label=POSITIVE, Score=0.9695
Item 62: Label=POSITIVE, Score=0.9346
Item 63: Label=POSITIVE, Score=0.9685
Item 64: Label=POSITIVE, Score=0.9618
Item 65: Label=POSITIVE, Score=0.8919
Item 66: Label=POSITIVE, Score=0.6486
Item 67: Label=POSITIVE, Score=0.8870
Item 68: Label=POSITIVE, Score=0.9517
Item 69: Label=POSITIVE, Score=0.9537
Item 70: Label=POSITIVE, Score=0.7579
Item 71: Label=POSITIVE, Score=0.9455
Item 72: Label=POSITIVE, Score=0.9249
Item 73: Label=POSITIVE, Score=0.9764
Item 74: Label=POSITIVE, Score=0.9749
Item 75: Label=POSITIVE, Score=0.9734
Item 76: Label=POSITIVE, Score=0.9938
Item 77: Label=POSITIVE, Score=0.9851
Item 78: Label=POSITIVE, Score=0.9762
Item 79: Label=POSITIVE, Score=0.9723
Item 80: Label=POSITIVE, Score=0.9747
Item 81: Label=POSITIVE, Score=0.9892
Item 82: Label=POSITIVE, Score=0.9886
Item 83: Label=POSITIVE, Score=0.9882
Item 84: Label=POSITIVE, Score=0.9879
Item 85: Label=POSITIVE, Score=0.9807
Item 86: Label=POSITIVE, Score=0.9825
Item 87: Label=POSITIVE, Score=0.9846
Item 88: Label=POSITIVE, Score=0.9908
Item 89: Label=POSITIVE, Score=0.9942
Item 90: Label=POSITIVE, Score=0.9889
Item 91: Label=POSITIVE, Score=0.9937
Item 92: Label=POSITIVE, Score=0.9899
Item 93: Label=POSITIVE, Score=0.9935
Item 94: Label=POSITIVE, Score=0.9881
Item 95: Label=POSITIVE, Score=0.9848
Item 96: Label=POSITIVE, Score=0.9927
Item 97: Label=POSITIVE, Score=0.9906
Item 98: Label=POSITIVE, Score=0.9923
Item 99: Label=POSITIVE, Score=0.9958
Item 100: Label=POSITIVE, Score=0.9985
Item 101: Label=POSITIVE, Score=0.9977
Item 102: Label=POSITIVE, Score=0.9917
Item 103: Label=POSITIVE, Score=0.9883
Item 104: Label=POSITIVE, Score=0.9947
Item 105: Label=POSITIVE, Score=0.9895
Item 106: Label=POSITIVE, Score=0.9827
Item 107: Label=POSITIVE, Score=0.9810
Item 108: Label=POSITIVE, Score=0.9797
Item 109: Label=POSITIVE, Score=0.9894
Item 110: Label=POSITIVE, Score=0.9791
Item 111: Label=POSITIVE, Score=0.9898
Item 112: Label=POSITIVE, Score=0.9831
Item 113: Label=POSITIVE, Score=0.9768
Item 114: Label=POSITIVE, Score=0.9742
Item 115: Label=POSITIVE, Score=0.9867
Item 116: Label=POSITIVE, Score=0.9881
Item 117: Label=POSITIVE, Score=0.9860
Item 118: Label=POSITIVE, Score=0.9902
Item 119: Label=POSITIVE, Score=0.9885
Item 120: Label=POSITIVE, Score=0.9887
Item 121: Label=POSITIVE, Score=0.9941
Item 122: Label=POSITIVE, Score=0.9936
Item 123: Label=POSITIVE, Score=0.9948
Item 124: Label=POSITIVE, Score=0.9944
Item 125: Label=POSITIVE, Score=0.9933
Item 126: Label=POSITIVE, Score=0.9944
Item 127: Label=POSITIVE, Score=0.9936
Item 128: Label=POSITIVE, Score=0.9787
Item 129: Label=POSITIVE, Score=0.9897
Item 130: Label=POSITIVE, Score=0.9849
Item 131: Label=POSITIVE, Score=0.9920
Item 132: Label=POSITIVE, Score=0.9852
Item 133: Label=POSITIVE, Score=0.9871
Item 134: Label=POSITIVE, Score=0.9934
Item 135: Label=POSITIVE, Score=0.9888
Item 136: Label=POSITIVE, Score=0.9913
Item 137: Label=POSITIVE, Score=0.9867
Item 138: Label=POSITIVE, Score=0.9852
Item 139: Label=POSITIVE, Score=0.9796
Item 140: Label=POSITIVE, Score=0.9915
Item 141: Label=POSITIVE, Score=0.9892
Item 142: Label=POSITIVE, Score=0.9858
Item 143: Label=POSITIVE, Score=0.9893
Item 144: Label=POSITIVE, Score=0.9851
Item 145: Label=POSITIVE, Score=0.9847
Item 146: Label=POSITIVE, Score=0.9840
Item 147: Label=POSITIVE, Score=0.9876
Item 148: Label=POSITIVE, Score=0.9929
Item 149: Label=POSITIVE, Score=0.9890
Item 150: Label=POSITIVE, Score=0.9923
Item 151: Label=POSITIVE, Score=0.9937
Item 152: Label=POSITIVE, Score=0.9644
Item 153: Label=POSITIVE, Score=0.9575
Item 154: Label=POSITIVE, Score=0.9436
Item 155: Label=POSITIVE, Score=0.9716
Item 156: Label=POSITIVE, Score=0.9180
Item 157: Label=POSITIVE, Score=0.8911
Item 158: Label=POSITIVE, Score=0.8632
Item 159: Label=POSITIVE, Score=0.9240
Item 160: Label=POSITIVE, Score=0.9765
Item 161: Label=POSITIVE, Score=0.9868
Item 162: Label=POSITIVE, Score=0.9038
Item 163: Label=POSITIVE, Score=0.9486
Item 164: Label=POSITIVE, Score=0.9208
Item 165: Label=POSITIVE, Score=0.9291
Item 166: Label=POSITIVE, Score=0.9625
Item 167: Label=POSITIVE, Score=0.8799
Item 168: Label=POSITIVE, Score=0.7852
Item 169: Label=POSITIVE, Score=0.9011
Item 170: Label=POSITIVE, Score=0.9177
Item 171: Label=POSITIVE, Score=0.9496
Item 172: Label=POSITIVE, Score=0.9899
Item 173: Label=POSITIVE, Score=0.9760
Item 174: Label=POSITIVE, Score=0.9435
Item 175: Label=POSITIVE, Score=0.9614
Item 176: Label=POSITIVE, Score=0.9882
Item 177: Label=POSITIVE, Score=0.9924
Item 178: Label=POSITIVE, Score=0.8652
Item 179: Label=POSITIVE, Score=0.8162
Item 180: Label=POSITIVE, Score=0.9494
Item 181: Label=POSITIVE, Score=0.9708
Item 182: Label=POSITIVE, Score=0.9698
Item 183: Label=POSITIVE, Score=0.9549
Item 184: Label=POSITIVE, Score=0.9677
Item 185: Label=POSITIVE, Score=0.9591
Item 186: Label=POSITIVE, Score=0.9935
Item 187: Label=POSITIVE, Score=0.9832
Item 188: Label=POSITIVE, Score=0.9727
Item 189: Label=POSITIVE, Score=0.9737
Item 190: Label=POSITIVE, Score=0.9751
Item 191: Label=POSITIVE, Score=0.9906
Item 192: Label=POSITIVE, Score=0.9831
Item 193: Label=POSITIVE, Score=0.9939
Item 194: Label=POSITIVE, Score=0.9943
Item 195: Label=POSITIVE, Score=0.9734
Item 196: Label=POSITIVE, Score=0.9783
Item 197: Label=POSITIVE, Score=0.9712
Item 198: Label=POSITIVE, Score=0.9469
Item 199: Label=POSITIVE, Score=0.9742
Item 200: Label=POSITIVE, Score=0.9872
Item 201: Label=POSITIVE, Score=0.9953
Item 202: Label=POSITIVE, Score=0.9966
Item 203: Label=POSITIVE, Score=0.9919
Item 204: Label=POSITIVE, Score=0.9939
Item 205: Label=POSITIVE, Score=0.9934
Item 206: Label=POSITIVE, Score=0.9904
Item 207: Label=POSITIVE, Score=0.9567
Item 208: Label=POSITIVE, Score=0.9536
Item 209: Label=POSITIVE, Score=0.9306
Item 210: Label=POSITIVE, Score=0.9348
Item 211: Label=POSITIVE, Score=0.8675
Item 212: Label=POSITIVE, Score=0.9062
Item 213: Label=POSITIVE, Score=0.8894
Item 214: Label=POSITIVE, Score=0.9249
Item 215: Label=POSITIVE, Score=0.9707
Item 216: Label=POSITIVE, Score=0.9461
Item 217: Label=POSITIVE, Score=0.9719
Item 218: Label=POSITIVE, Score=0.9700
Item 219: Label=POSITIVE, Score=0.8639
Item 220: Label=POSITIVE, Score=0.9741
Item 221: Label=POSITIVE, Score=0.9747
Item 222: Label=POSITIVE, Score=0.9755
Item 223: Label=POSITIVE, Score=0.9627
Item 224: Label=POSITIVE, Score=0.9761
Item 225: Label=POSITIVE, Score=0.9923
Item 226: Label=POSITIVE, Score=0.9924
Item 227: Label=POSITIVE, Score=0.9911
Item 228: Label=POSITIVE, Score=0.9589
Item 229: Label=POSITIVE, Score=0.5203
Item 230: Label=POSITIVE, Score=0.9230
Item 231: Label=POSITIVE, Score=0.9755
Item 232: Label=POSITIVE, Score=0.9875
Item 233: Label=POSITIVE, Score=0.9800
Item 234: Label=POSITIVE, Score=0.9458
Item 235: Label=POSITIVE, Score=0.9227
Item 236: Label=POSITIVE, Score=0.9736
Item 237: Label=POSITIVE, Score=0.9569
Item 238: Label=POSITIVE, Score=0.9807
Item 239: Label=POSITIVE, Score=0.9963
Item 240: Label=POSITIVE, Score=0.9953
Item 241: Label=POSITIVE, Score=0.9898
Item 242: Label=POSITIVE, Score=0.9948
Item 243: Label=POSITIVE, Score=0.9933
Item 244: Label=POSITIVE, Score=0.9858
Item 245: Label=POSITIVE, Score=0.8139
Item 246: Label=POSITIVE, Score=0.9778
Item 247: Label=POSITIVE, Score=0.9894
Item 248: Label=POSITIVE, Score=0.9919
Item 249: Label=POSITIVE, Score=0.9935
Item 250: Label=POSITIVE, Score=0.9906
Item 251: Label=POSITIVE, Score=0.9951
Item 252: Label=POSITIVE, Score=0.7352
Item 253: Label=POSITIVE, Score=0.9529
Item 254: Label=POSITIVE, Score=0.9624
Item 255: Label=POSITIVE, Score=0.9715
Item 256: Label=POSITIVE, Score=0.9786
Item 257: Label=POSITIVE, Score=0.9917
Item 258: Label=POSITIVE, Score=0.9945
Item 259: Label=POSITIVE, Score=0.9509
Item 260: Label=POSITIVE, Score=0.9014
Item 261: Label=POSITIVE, Score=0.9897
Item 262: Label=POSITIVE, Score=0.9859
Item 263: Label=POSITIVE, Score=0.9093
Item 264: Label=POSITIVE, Score=0.9779
Item 265: Label=POSITIVE, Score=0.9133
Item 266: Label=POSITIVE, Score=0.9934
Item 267: Label=NEGATIVE, Score=0.9322
Item 268: Label=POSITIVE, Score=0.9216
Item 269: Label=NEGATIVE, Score=0.8699
Item 270: Label=POSITIVE, Score=0.9070
Item 271: Label=POSITIVE, Score=0.9862
Item 272: Label=NEGATIVE, Score=0.8729
Item 273: Label=POSITIVE, Score=0.9473
Item 274: Label=POSITIVE, Score=0.9871
Item 275: Label=POSITIVE, Score=0.9463
Item 276: Label=POSITIVE, Score=0.9942
Item 277: Label=POSITIVE, Score=0.9361
Item 278: Label=POSITIVE, Score=0.9255
Item 279: Label=POSITIVE, Score=0.8453
Item 280: Label=POSITIVE, Score=0.9582
Item 281: Label=POSITIVE, Score=0.9775
Item 282: Label=POSITIVE, Score=0.9918
Item 283: Label=POSITIVE, Score=0.9925
Item 284: Label=POSITIVE, Score=0.9881
Item 285: Label=POSITIVE, Score=0.9824
Item 286: Label=POSITIVE, Score=0.9851
Item 287: Label=POSITIVE, Score=0.6922
Item 288: Label=POSITIVE, Score=0.9859
Item 289: Label=POSITIVE, Score=0.9759
Item 290: Label=POSITIVE, Score=0.9619
Item 291: Label=POSITIVE, Score=0.9584
Item 292: Label=POSITIVE, Score=0.9758
Item 293: Label=POSITIVE, Score=0.9861
Item 294: Label=POSITIVE, Score=0.9886
Item 295: Label=POSITIVE, Score=0.9703
Item 296: Label=POSITIVE, Score=0.9814
Item 297: Label=POSITIVE, Score=0.9803
Item 298: Label=POSITIVE, Score=0.9648
Item 299: Label=POSITIVE, Score=0.9449
Item 300: Label=POSITIVE, Score=0.9854
Item 301: Label=POSITIVE, Score=0.9953
Item 302: Label=POSITIVE, Score=0.9906
Item 303: Label=POSITIVE, Score=0.9884
Item 304: Label=POSITIVE, Score=0.9397
Item 305: Label=POSITIVE, Score=0.9910
Item 306: Label=POSITIVE, Score=0.9600
Item 307: Label=POSITIVE, Score=0.9810
Item 308: Label=POSITIVE, Score=0.9476
Item 309: Label=POSITIVE, Score=0.9751
Item 310: Label=POSITIVE, Score=0.9557
Item 311: Label=POSITIVE, Score=0.9896
Item 312: Label=POSITIVE, Score=0.9788
Item 313: Label=POSITIVE, Score=0.9326
Item 314: Label=POSITIVE, Score=0.9899
Item 315: Label=POSITIVE, Score=0.9499
Item 316: Label=POSITIVE, Score=0.8985
Item 317: Label=POSITIVE, Score=0.9842
Item 318: Label=POSITIVE, Score=0.9809
Item 319: Label=POSITIVE, Score=0.9711
Item 320: Label=POSITIVE, Score=0.9781
Item 321: Label=POSITIVE, Score=0.9869
Item 322: Label=POSITIVE, Score=0.9866
Item 323: Label=POSITIVE, Score=0.9657
Item 324: Label=POSITIVE, Score=0.9978
Item 325: Label=POSITIVE, Score=0.9929
Item 326: Label=POSITIVE, Score=0.9930
Item 327: Label=POSITIVE, Score=0.9785
Item 328: Label=POSITIVE, Score=0.9811
Item 329: Label=POSITIVE, Score=0.9940
Item 330: Label=POSITIVE, Score=0.9515
Item 331: Label=POSITIVE, Score=0.9730
Item 332: Label=POSITIVE, Score=0.9902
Item 333: Label=POSITIVE, Score=0.9762
Item 334: Label=POSITIVE, Score=0.9808
Item 335: Label=POSITIVE, Score=0.9243
Item 336: Label=POSITIVE, Score=0.9718
Item 337: Label=POSITIVE, Score=0.9887
Item 338: Label=POSITIVE, Score=0.9176
Item 339: Label=POSITIVE, Score=0.9491
Item 340: Label=POSITIVE, Score=0.9428
Item 341: Label=POSITIVE, Score=0.9838
Item 342: Label=POSITIVE, Score=0.9948
Item 343: Label=POSITIVE, Score=0.9360
Item 344: Label=POSITIVE, Score=0.9944
Item 345: Label=POSITIVE, Score=0.9842
Item 346: Label=POSITIVE, Score=0.9919
Item 347: Label=POSITIVE, Score=0.8895
Item 348: Label=POSITIVE, Score=0.8867
Item 349: Label=POSITIVE, Score=0.9103
Item 350: Label=POSITIVE, Score=0.9155
Item 351: Label=POSITIVE, Score=0.9907
Item 352: Label=POSITIVE, Score=0.9721
Item 353: Label=POSITIVE, Score=0.9519
Item 354: Label=POSITIVE, Score=0.9514
Item 355: Label=POSITIVE, Score=0.9750
Item 356: Label=POSITIVE, Score=0.9581
Item 357: Label=POSITIVE, Score=0.9661
Item 358: Label=POSITIVE, Score=0.9615
Item 359: Label=POSITIVE, Score=0.9165
Item 360: Label=POSITIVE, Score=0.9159
Item 361: Label=POSITIVE, Score=0.9959
Item 362: Label=POSITIVE, Score=0.9208
Item 363: Label=POSITIVE, Score=0.9216
Item 364: Label=POSITIVE, Score=0.9141
Item 365: Label=POSITIVE, Score=0.8901
Item 366: Label=POSITIVE, Score=0.9977
Item 367: Label=POSITIVE, Score=0.8737
Item 368: Label=POSITIVE, Score=0.8777
Item 369: Label=POSITIVE, Score=0.8875
Item 370: Label=POSITIVE, Score=0.8972
Item 371: Label=POSITIVE, Score=0.7933
Item 372: Label=POSITIVE, Score=0.9212
Item 373: Label=POSITIVE, Score=0.9218
Item 374: Label=POSITIVE, Score=0.9010
Item 375: Label=POSITIVE, Score=0.8969
Item 376: Label=POSITIVE, Score=0.9825
Item 377: Label=POSITIVE, Score=0.8567
Item 378: Label=POSITIVE, Score=0.8525
Item 379: Label=POSITIVE, Score=0.8745
Item 380: Label=POSITIVE, Score=0.8828
Item 381: Label=POSITIVE, Score=0.9660
Item 382: Label=POSITIVE, Score=0.9827
Item 383: Label=POSITIVE, Score=0.9549
Item 384: Label=POSITIVE, Score=0.9430
Item 385: Label=POSITIVE, Score=0.9329
Item 386: Label=POSITIVE, Score=0.9916
Item 387: Label=POSITIVE, Score=0.9151
Item 388: Label=POSITIVE, Score=0.9169
Item 389: Label=POSITIVE, Score=0.9230
Item 390: Label=POSITIVE, Score=0.9204
Item 391: Label=POSITIVE, Score=0.9871
Item 392: Label=POSITIVE, Score=0.9323
Item 393: Label=POSITIVE, Score=0.9437
Item 394: Label=POSITIVE, Score=0.9379
Item 395: Label=POSITIVE, Score=0.9140
Item 396: Label=POSITIVE, Score=0.9916
Item 397: Label=POSITIVE, Score=0.9134
Item 398: Label=POSITIVE, Score=0.9031
Item 399: Label=POSITIVE, Score=0.9223
Item 400: Label=POSITIVE, Score=0.9225
Item 401: Label=POSITIVE, Score=0.9950
Item 402: Label=POSITIVE, Score=0.9798
Item 403: Label=POSITIVE, Score=0.8720
Item 404: Label=POSITIVE, Score=0.9871
Item 405: Label=NEGATIVE, Score=0.5660
Item 406: Label=POSITIVE, Score=0.8645
Item 407: Label=POSITIVE, Score=0.7490
Item 408: Label=NEGATIVE, Score=0.5857
Item 409: Label=POSITIVE, Score=0.9101
Item 410: Label=POSITIVE, Score=0.9087
Item 411: Label=POSITIVE, Score=0.7679
Item 412: Label=POSITIVE, Score=0.8468
Item 413: Label=POSITIVE, Score=0.9072
Item 414: Label=POSITIVE, Score=0.8871
Item 415: Label=POSITIVE, Score=0.8542
Item 416: Label=POSITIVE, Score=0.9787
Item 417: Label=POSITIVE, Score=0.7869
Item 418: Label=POSITIVE, Score=0.9816
Item 419: Label=POSITIVE, Score=0.8465
Item 420: Label=POSITIVE, Score=0.8715
Item 421: Label=POSITIVE, Score=0.9763
Item 422: Label=POSITIVE, Score=0.8807
Item 423: Label=POSITIVE, Score=0.8651
Item 424: Label=POSITIVE, Score=0.8407
Item 425: Label=POSITIVE, Score=0.7882
Item 426: Label=POSITIVE, Score=0.9959
Item 427: Label=POSITIVE, Score=0.7596
Item 428: Label=POSITIVE, Score=0.7603
Item 429: Label=POSITIVE, Score=0.8236
Item 430: Label=POSITIVE, Score=0.8161
Item 431: Label=POSITIVE, Score=0.9251
Item 432: Label=POSITIVE, Score=0.7737
Item 433: Label=POSITIVE, Score=0.8230
Item 434: Label=POSITIVE, Score=0.7362
Item 435: Label=POSITIVE, Score=0.7456
Item 436: Label=POSITIVE, Score=0.9805
Item 437: Label=POSITIVE, Score=0.6789
Item 438: Label=POSITIVE, Score=0.6977
Item 439: Label=POSITIVE, Score=0.7567
Item 440: Label=POSITIVE, Score=0.7893
Item 441: Label=POSITIVE, Score=0.9334
Item 442: Label=POSITIVE, Score=0.9274
Item 443: Label=POSITIVE, Score=0.8810
Item 444: Label=POSITIVE, Score=0.8293
Item 445: Label=POSITIVE, Score=0.7948
Item 446: Label=POSITIVE, Score=0.8918
Item 447: Label=POSITIVE, Score=0.7447
Item 448: Label=POSITIVE, Score=0.7430
Item 449: Label=POSITIVE, Score=0.7802
Item 450: Label=POSITIVE, Score=0.8170
Item 451: Label=POSITIVE, Score=0.9876
Item 452: Label=POSITIVE, Score=0.9336
Item 453: Label=POSITIVE, Score=0.8612
Item 454: Label=POSITIVE, Score=0.8540
Item 455: Label=POSITIVE, Score=0.8223
Item 456: Label=POSITIVE, Score=0.9112
Item 457: Label=POSITIVE, Score=0.7339
Item 458: Label=POSITIVE, Score=0.7269
Item 459: Label=POSITIVE, Score=0.7561
Item 460: Label=POSITIVE, Score=0.7697
Item 461: Label=POSITIVE, Score=0.9408
Item 462: Label=POSITIVE, Score=0.8887
Item 463: Label=POSITIVE, Score=0.9055
Item 464: Label=POSITIVE, Score=0.8998
Item 465: Label=POSITIVE, Score=0.8542
Item 466: Label=POSITIVE, Score=0.9126
Item 467: Label=POSITIVE, Score=0.8267
Item 468: Label=POSITIVE, Score=0.8400
Item 469: Label=POSITIVE, Score=0.8359
Item 470: Label=POSITIVE, Score=0.8519
Item 471: Label=POSITIVE, Score=0.9775
Item 472: Label=POSITIVE, Score=0.9397
Item 473: Label=POSITIVE, Score=0.9401
Item 474: Label=POSITIVE, Score=0.9319
Item 475: Label=POSITIVE, Score=0.9032
Item 476: Label=POSITIVE, Score=0.9838
Item 477: Label=POSITIVE, Score=0.9038
Item 478: Label=POSITIVE, Score=0.9060
Item 479: Label=POSITIVE, Score=0.9047
Item 480: Label=POSITIVE, Score=0.9210
Item 481: Label=POSITIVE, Score=0.9884
Item 482: Label=POSITIVE, Score=0.9326
Item 483: Label=POSITIVE, Score=0.9362
Item 484: Label=POSITIVE, Score=0.9327
Item 485: Label=POSITIVE, Score=0.9105
Item 486: Label=POSITIVE, Score=0.9410
Item 487: Label=POSITIVE, Score=0.9145
Item 488: Label=POSITIVE, Score=0.9145
Item 489: Label=POSITIVE, Score=0.9050
Item 490: Label=POSITIVE, Score=0.9165
Item 491: Label=POSITIVE, Score=0.9840
Item 492: Label=POSITIVE, Score=0.9112
Item 493: Label=POSITIVE, Score=0.9080
Item 494: Label=POSITIVE, Score=0.9184
Item 495: Label=POSITIVE, Score=0.8941
Item 496: Label=POSITIVE, Score=0.9984
Item 497: Label=POSITIVE, Score=0.8820
Item 498: Label=POSITIVE, Score=0.8823
Item 499: Label=POSITIVE, Score=0.9023
Item 500: Label=POSITIVE, Score=0.9009
Item 501: Label=POSITIVE, Score=0.9940
Item 502: Label=POSITIVE, Score=0.9943
Item 503: Label=POSITIVE, Score=0.9424
Item 504: Label=POSITIVE, Score=0.9524
Item 505: Label=POSITIVE, Score=0.9301
Item 506: Label=POSITIVE, Score=0.9736
Item 507: Label=POSITIVE, Score=0.9172
Item 508: Label=POSITIVE, Score=0.9319
Item 509: Label=POSITIVE, Score=0.9309
Item 510: Label=POSITIVE, Score=0.9320
Item 511: Label=POSITIVE, Score=0.9570
Item 512: Label=POSITIVE, Score=0.9008
Item 513: Label=POSITIVE, Score=0.9557
Item 514: Label=POSITIVE, Score=0.8843
Item 515: Label=POSITIVE, Score=0.8559
Item 516: Label=POSITIVE, Score=0.9082
Item 517: Label=POSITIVE, Score=0.8329
Item 518: Label=POSITIVE, Score=0.8490
Item 519: Label=POSITIVE, Score=0.8527
Item 520: Label=POSITIVE, Score=0.8725
Item 521: Label=POSITIVE, Score=0.9882
Item 522: Label=POSITIVE, Score=0.9804
Item 523: Label=POSITIVE, Score=0.8844
Item 524: Label=POSITIVE, Score=0.8817
Item 525: Label=POSITIVE, Score=0.8355
Item 526: Label=POSITIVE, Score=0.7698
Item 527: Label=POSITIVE, Score=0.8425
Item 528: Label=POSITIVE, Score=0.8434
Item 529: Label=POSITIVE, Score=0.8534
Item 530: Label=POSITIVE, Score=0.8557
Item 531: Label=POSITIVE, Score=0.9589
Item 532: Label=POSITIVE, Score=0.7943
Item 533: Label=POSITIVE, Score=0.8163
Item 534: Label=POSITIVE, Score=0.8143
Item 535: Label=POSITIVE, Score=0.7791
Item 536: Label=POSITIVE, Score=0.8587
Item 537: Label=POSITIVE, Score=0.7510
Item 538: Label=POSITIVE, Score=0.7596
Item 539: Label=POSITIVE, Score=0.7912
Item 540: Label=POSITIVE, Score=0.7869
Item 541: Label=POSITIVE, Score=0.9650
Item 542: Label=POSITIVE, Score=0.8636
Item 543: Label=POSITIVE, Score=0.8840
Item 544: Label=POSITIVE, Score=0.8776
Item 545: Label=POSITIVE, Score=0.8513
Item 546: Label=POSITIVE, Score=0.9145
Item 547: Label=POSITIVE, Score=0.8206
Item 548: Label=POSITIVE, Score=0.8305
Item 549: Label=POSITIVE, Score=0.8603
Item 550: Label=POSITIVE, Score=0.8500
Item 551: Label=POSITIVE, Score=0.9838
Item 552: Label=POSITIVE, Score=0.9043
Item 553: Label=POSITIVE, Score=0.9196
Item 554: Label=POSITIVE, Score=0.9105
Item 555: Label=POSITIVE, Score=0.8954
Item 556: Label=POSITIVE, Score=0.9582
Item 557: Label=POSITIVE, Score=0.8762
Item 558: Label=POSITIVE, Score=0.8798
Item 559: Label=POSITIVE, Score=0.8930
Item 560: Label=POSITIVE, Score=0.9014
Item 561: Label=POSITIVE, Score=0.9607
Item 562: Label=POSITIVE, Score=0.8740
Item 563: Label=POSITIVE, Score=0.8811
Item 564: Label=POSITIVE, Score=0.8687
Item 565: Label=POSITIVE, Score=0.8383
Item 566: Label=POSITIVE, Score=0.9149
Item 567: Label=POSITIVE, Score=0.8246
Item 568: Label=POSITIVE, Score=0.8285
Item 569: Label=POSITIVE, Score=0.8330
Item 570: Label=POSITIVE, Score=0.8498
Item 571: Label=POSITIVE, Score=0.9867
Item 572: Label=POSITIVE, Score=0.8642
Item 573: Label=POSITIVE, Score=0.8726
Item 574: Label=POSITIVE, Score=0.8647
Item 575: Label=POSITIVE, Score=0.8192
Item 576: Label=POSITIVE, Score=0.9006
Item 577: Label=POSITIVE, Score=0.8084
Item 578: Label=POSITIVE, Score=0.8198
Item 579: Label=POSITIVE, Score=0.8288
Item 580: Label=POSITIVE, Score=0.8409
Item 581: Label=POSITIVE, Score=0.9668
Item 582: Label=POSITIVE, Score=0.8453
Item 583: Label=POSITIVE, Score=0.8712
Item 584: Label=POSITIVE, Score=0.8657
Item 585: Label=POSITIVE, Score=0.8253
Item 586: Label=POSITIVE, Score=0.8853
Item 587: Label=POSITIVE, Score=0.8080
Item 588: Label=POSITIVE, Score=0.8168
Item 589: Label=POSITIVE, Score=0.8224
Item 590: Label=POSITIVE, Score=0.8316
Item 591: Label=POSITIVE, Score=0.7452
Item 592: Label=POSITIVE, Score=0.8649
Item 593: Label=POSITIVE, Score=0.9030
Item 594: Label=POSITIVE, Score=0.8859
Item 595: Label=POSITIVE, Score=0.8634
Item 596: Label=POSITIVE, Score=0.8943
Item 597: Label=POSITIVE, Score=0.8359
Item 598: Label=POSITIVE, Score=0.8321
Item 599: Label=POSITIVE, Score=0.8558
Item 600: Label=POSITIVE, Score=0.8699
Item 601: Label=POSITIVE, Score=0.9911
Item 602: Label=POSITIVE, Score=0.8886
Item 603: Label=POSITIVE, Score=0.9120
Item 604: Label=POSITIVE, Score=0.9126
Item 605: Label=POSITIVE, Score=0.8993
Item 606: Label=POSITIVE, Score=0.9350
Item 607: Label=POSITIVE, Score=0.8833
